Annual Income,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score
1168386.0,0.0,9.42162524102442,22.74660548057018,614772.7949896551,0.0,34.69069471224935,0.0,376590.53646746906,384297.5683409801,12592.58324816051,731.0
1638018.8152417021,0.0,10.72866941658121,26.109904065504463,838924.3462016792,0.0,17.039231586495212,0.0,745972.2937345435,610805.4221680941,28533.83315521085,660.7679010030764
875794.1344622477,0.0,11.242832396711208,22.71610545452209,356766.22076123056,0.0,43.383362203836924,0.0,258050.9352824262,249736.1425659923,23038.31948120692,716.1773458953409
1374631.0,0.0,9.0,18.6,369666.0,0.0,32.0,0.0,448360.0,216448.0,15694.0,727.0
2321496.0,0.0,10.0,15.0,1360524.0,0.0,32.0,0.0,358402.0,460598.0,38498.0,744.0
1168386.0,0.0,8.0,9.9,342408.0,0.0,32.0,0.0,198924.0,228874.0,8752.0,731.0
1216000.0,0.0,10.0,11.0,742764.0,0.0,32.0,0.0,99999999.0,94297.0,4276.0,742.0
1168386.0,0.0,20.135689385607513,13.54899286775856,379559.22810468794,1.0,11.625618063193114,1.0,295637.83095315506,130412.42702297727,24760.588979000026,731.0
1168386.0,0.0,16.0,21.0,897886.0,0.0,62.0,0.0,277992.0,211698.0,24489.0,731.0
1168386.0,0.0,16.0,23.4,2146738.0,0.0,32.0,0.0,608916.0,155743.0,45201.0,731.0
1413834.4860704665,0.0,12.476079950679933,26.918280678585685,580323.5111039073,0.0,41.325166563916525,0.0,400107.4231809391,247014.11381411864,13670.113392896415,730.0159466995467
2013734.0,0.0,17.0,23.7,780472.0,0.0,32.0,0.0,99999999.0,632263.0,45645.0,743.0
1695849.4736599189,0.0,12.917228686317685,20.87762111262636,377998.78003717645,0.541385656841157,59.7896995978881,0.541385656841157,779022.0367339836,188497.24064291688,28803.04475146682,609.5481298926534
422370.0,0.0,15.0,28.8,792154.0,0.0,8.0,0.0,64350.0,38988.0,5019.0,746.0
1234506.0,0.0,7.0,26.9,290158.0,0.0,32.0,0.0,184734.0,199728.0,13579.0,734.0
3793179.0,0.0,19.0,17.3,2052336.0,0.0,32.0,0.0,612634.0,997899.0,57909.0,652.0
